,movie,imdb,metascore,votes,gross,year
2076,Alice Through the Looking Glass,6.2,34,60563,77037635,2016
2077,Run Fatboy Run,6.6,48,60551,5998971,2007
2078,The Station Agent,7.7,81,60532,5739376,2003
2079,Quarantine,6.0,53,60474,31691811,2008
2080,Act of Valor,6.5,40,60402,70011073,2012
2081,The Hundred-Foot Journey,7.3,55,60293,54235441,2014
2082,Dragonball Evolution,2.6,45,60178,9353573,2009
2083,Just Married,5.4,28,60147,56127162,2003
2084,The Water Diviner,7.1,50,60145,4190530,2014
2085,Eye in the Sky,7.3,73,60094,18700837,2015
2086,Amistad,7.3,63,60047,44175394,1997
2087,Changing Lanes,6.5,69,59998,66790248,2002
2088,The Wedding Ringer,6.7,35,59946,64460211,2015
2089,The Longest Ride,7.1,33,59878,37432299,2015
2090,No Escape,6.8,38,59872,27285953,2015
2091,The Last Castle,6.9,43,59858,18208078,2001
2092,Star Trek: Insurrection,6.4,64,59786,70117571,1998
2093,Pretty in Pink,6.8,57,59781,40471663,1986
2094,Double Jeopardy,6.4,40,59735,116735231,1999
2095,Domino,6.0,36,59681,10137232,2005
2096,Seabiscuit,7.3,72,59676,120147445,2003
2097,George of the Jungle,5.4,53,59672,105263257,1997
2098,Fatal Attraction,6.9,67,59621,156645693,1987
2099,Chloe,6.3,48,59579,3074838,2009
2100,Dreamgirls,6.5,76,59529,103338338,2006
2101,The Iceman,6.9,60,59507,1939441,2012
2102,Practical Magic,6.2,46,59447,46611204,1998
2103,Romeo Must Die,6.1,52,59399,55973336,2000
2104,The Texas Chainsaw Massacre: The Beginning,5.9,30,59293,39511038,2006
2105,Mysterious Skin,7.7,73,59282,697181,2004
2106,The Forgotten,5.8,43,59266,66641205,2004
2107,Fruitvale Station,7.5,85,59260,16097842,2013
2108,The Postman,6.0,29,59199,17593391,1997
2109,The DUFF,6.5,56,59148,34017854,2015
2110,This Is Where I Leave You,6.6,44,59144,34290142,2014
2111,A Perfect Getaway,6.5,63,59141,15483540,2009
2112,Bowfinger,6.4,71,59139,66365290,1999
2113,Star Trek VI: The Undiscovered Country,7.2,65,59031,74888996,1991
2114,Bandits,6.5,60,59022,41523271,2001
2115,The Princess Diaries 2: Royal Engagement,5.7,43,58960,95149435,2004
2116,Kari-gurashi no Arietti,7.6,80,58954,19192510,2010
2117,Jeux d'enfants,7.7,45,58905,548707,2003
2118,Goosebumps,6.3,60,58816,80021740,2015
2119,[Rec]²,6.6,52,58813,27024,2009
2120,Wolf Creek,6.3,54,58802,16186348,2005
2121,Eddie the Eagle,7.4,54,58773,15785632,2016
2122,MASH,7.6,79,58655,81600000,1970
2123,Banlieue 13,7.2,70,58524,1197786,2004
2124,Windtalkers,6.0,51,58511,40911830,2002
2125,House of Sand and Fog,7.6,71,58407,13005485,2003
2126,Charlie Bartlett,7.0,54,58385,3950294,2007
2127,The Bridges of Madison County,7.6,66,58383,70960517,1995
2128,I Still Know What You Did Last Summer,4.6,21,58364,39989008,1998
2129,I Heart Huckabees,6.7,55,58329,12784713,2004
2130,Trolljegeren,7.0,61,58297,252652,2010
2131,Power Rangers,6.2,44,58275,85067486,2017
2132,Mike and Dave Need Wedding Dates,6.0,51,58173,46007113,2016
2133,Caché,7.3,83,58142,3634407,2005
2134,Happiness,7.8,81,58135,3000000,1998
2135,A Very Harold & Kumar 3D Christmas,6.3,61,58109,35033759,2011
2136,Deliver Us from Evil,6.2,40,58095,30523568,2014
2137,Haute tension,6.8,42,58081,3645438,2003
2138,Joan of Arc,6.4,54,58064,14131298,1999
2139,La cité des enfants perdus,7.7,73,58060,1513028,1995
2140,Father of the Bride,6.5,51,58059,89325780,1991
2141,Bottle Rocket,7.1,65,58028,1040879,1996
2142,Why Him?,6.3,39,58029,60312925,2016
2143,xXx: State of the Union,4.4,37,58017,26082914,2005
2144,Nikita,7.4,56,58008,5017971,1990
2145,Escape from L.A.,5.7,54,57951,25407250,1996
2146,Angry Birds,6.3,43,57947,107506776,2016
2147,Chinjeolhan geumjassi,7.6,75,57947,211667,2005
2148,Walk Hard: The Dewey Cox Story,6.7,63,57921,18317151,2007
2149,The Purge: Election Year,6.0,55,57896,79003080,2016
2150,Whip It,6.9,68,57850,13034417,2009
2151,Made of Honor,5.9,37,57717,46012734,2008
2152,Midnight Run,7.6,78,57689,38413606,1988
2153,Elizabeth: The Golden Age,6.9,45,57662,16264475,2007
2154,"Jeff, Who Lives at Home",6.5,60,57656,4244155,2011
2155,Saturday Night Fever,6.8,77,57651,94213184,1977
2156,The Debt,6.9,65,57609,31146570,2010
2157,The Mummy,5.7,34,57553,79401065,2017
2158,Europa Report,6.5,68,57485,125475,2013
2159,Hackers,6.2,46,57438,7564000,1995
2160,Død snø,6.3,61,57407,41709,2009
2161,Surf's Up,6.7,64,57370,58867694,2007
2162,Fences,7.2,79,57371,57642961,2016
2163,Dead Man Down,6.5,39,57352,10880926,2013
2164,Das weiße Band - Eine deutsche Kindergeschichte,7.8,82,57048,2222647,2009
2165,Peter Pan,6.9,64,57011,48417850,2003
2166,Midnight Special,6.7,76,56943,3707794,2016
2167,Open Range,7.5,67,56933,58328680,2003
2168,Into the Storm,5.8,44,56914,47553512,2014
2169,¡Three Amigos!,6.4,52,56884,39246734,1986
2170,Jersey Girl,6.2,43,56861,25266129,2004
2171,Chak De! India,8.3,68,56827,1113541,2007
2172,Harsh Times,6.9,56,56807,3335839,2005
2173,48 Hrs.,6.9,71,56765,75900000,1982
2174,The Eagle,6.2,55,56749,19478384,2011
2175,Hunt for the Wilderpeople,7.9,81,56741,5202582,2016
2176,Quiz Show,7.5,88,56723,24822619,1994
2177,Stigmata,6.2,28,56701,50041732,1999
2178,Beerfest,6.3,46,56638,19179969,2006
2179,Walking Tall,6.2,44,56595,45860039,2004
2180,Frozen,6.2,43,56551,243390,2010
2181,Luftslottet som sprängdes,7.3,60,56527,5188972,2009
2182,The F Word,6.8,59,56443,3452117,2013
2183,Hannah and Her Sisters,8.0,90,56432,40084041,1986
2184,Footloose,6.5,42,56383,80000000,1984
2185,Silence,7.2,79,56382,7079191,2016
2186,Wonder Boys,7.4,73,56363,19389454,2000
2187,Agora,7.2,55,56302,617840,2009
2188,Freedom Writers,7.5,64,56278,36581633,2007
2189,"As Above, So Below",6.2,38,56239,21197315,2014
2190,T2 Trainspotting,7.4,67,56231,2395410,2017
2191,Machine Gun Preacher,6.8,43,56175,537580,2011
2192,Norbit,4.0,27,56148,95323496,2007
2193,Joy Ride,6.6,75,55892,21973182,2001
2194,The Wicker Man,3.7,36,55886,23643531,2006
2195,Gulliver's Travels,4.9,33,55876,42776259,2010
2196,Mystery Men,6.1,65,55874,29655590,1999
2197,Sing Street,8.0,79,55852,3233839,2016
2198,Hummingbird,6.2,43,55848,34956,2013
2199,The Devil's Double,7.1,52,55802,1357042,2011
2200,My Super Ex-Girlfriend,5.1,50,55774,22526144,2006
2201,Paddington,7.2,77,55769,76137505,2014
2202,The Thirteenth Floor,7.0,36,55731,15500000,1999
2203,City of Ember,6.5,58,55716,7871693,2008
2204,Spawn,5.2,34,55688,54967359,1997
2205,Miss Congeniality 2: Armed and Fabulous,5.0,34,55601,48472213,2005
2206,The Boondock Saints II: All Saints Day,6.3,24,55515,10269307,2009
2207,Before I Go to Sleep,6.3,41,55514,2963012,2014
2208,TMNT,6.3,41,55489,54132596,2007
2209,Free Willy,5.9,79,55432,77698625,1993
2210,The Man with the Iron Fists,5.4,51,55414,15608545,2012
2211,Bringing Out the Dead,6.8,70,55395,16640210,1999
2212,Hunger,7.6,82,55376,154084,2008
2213,The Spirit,4.8,30,55375,19781879,2008
2214,Dangerous Liaisons,7.7,74,55359,34700000,1988
2215,Halloween II,6.6,40,55296,25500000,1981
2216,Knock Knock,4.9,53,55279,34004,2015
2217,Robot & Frank,7.1,67,55235,3325638,2012
2218,Black Snake Moan,7.0,52,55176,9396487,2006
2219,Sliding Doors,6.8,59,55150,11883495,1998
2220,The 'Burbs,6.9,44,55137,36602000,1989
2221,Invincible,7.1,63,55113,57789574,2006
