"country_name","country_code","x1998","x1999","x2000","x2001","x2002","x2003","x2004","x2005","x2006","x2007","x2008","x2009","x2010","x2011","x2012","x2013"
"Jamaica","JAM",3949,4228,5016,5063,5557,6683,7162,6727,6276,6493,6062,5855,5691,4831,4230,4003
"Japan","JPN",57088,58390,59302,57132,63935,64975,61490,64273,59154,55344,50839,45399,40330,35731,33416,32332
"Jordan","JOR",11843,12028,12080,12094,12662,12547,12431,12551,12822,13244,13617,14681,15128,15791,16677,19366
"Kazakhstan","KAZ",20020,20171,20203,23391,27463,25778,27710,29440,28248,30475,46780,35968,39484,43154,43431,48875
"Kenya","KEN",9259,9676,10517,11366,13314,14765,14267,14025,13728,13693,13607,13828,13456,14227,12575,12132
"Korea, Dem. People’s Rep.","PRK",5331,1264,1021,968,908,1112,1347,1528,1302,2109,2321,2238,2077,1414,1169,1913
"Korea, Rep.","KOR",63400,68129,70966,73587,85724,91420,96937,100800,104763,109872,117929,127054,126822,127832,121023,116942
"Kuwait","KWT",5171,5197,5540,5488,6248,5510,6639,6381,6447,7027,8482,9569,9997,11025,13746,16799
"Kyrgyz Republic","KGZ",4671,4839,2728,3002,3310,2688,3123,3035,3618,4080,4256,4493,5054,5707,5948,5885
"Lao PDR","LAO",1546,1629,1278,1103,1228,1568,1999,2374,3008,3489,3884,4276,3877,4146,4344,4985
"Latvia","LVA",2345,2375,2612,3025,3127,3643,3416,3486,3521,3872,4063,4250,5064,6036,6343,6284
"Lebanon","LBN",8333,8458,8870,9928,11772,13081,13577,13409,13705,13639,14247,14051,13243,13160,12596,12000
"Lesotho","LSO",940,1236,1760,2022,3685,4678,4397,4138,3951,4020,4440,4371,4464,4383,2887,2912
"Liberia","LBR",655,657,736,393,841,1017,760,716,727,731,802,713,752,695,698,691
"Libya","LBY",1679,1752,1771,2278,2672,2755,3325,3602,3395,4090,3937,5795,7389,7420,6811,6448
"Lithuania","LTU",3318,3254,3870,4929,5633,6584,6457,6786,6551,6744,7106,7783,8740,10314,12073,11898
"Luxembourg","LUX",5349,5430,5493,5839,6139,6526,6317,6669,7045,7205,6262,6786,7005,7287,7696,8950
"Macao SAR, China","MAC",780,784,772,835,917,968,856,982,1024,1217,1369,1556,1759,1846,1808,2103
